title,service,citation,dataDownload,description,license,organization,organization-long,source,short-description,subtitle,id
"Coastal Energy Facilities (2012) -- U.S. ","181","","ftp://ftp.coast.noaa.gov/pub/MSP/CoastalEnergyFacilities.zip","","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","http://catalog.data.gov/dataset/coastal-energy-facilities","These data depict the location of facilities that generate electricity. The locations are created from the Environmental Protection Agency Emissions & Generation Resource Integrated Database (eGRID). Only facilities adjacent to the coast and Great Lakes are shown. Contained within the database are records that define the fuel source and other characteristics of the facility that may benefit ocean planners. In some cases, the presence of a facility may indicate that certain power transmission infrastructure exists nearby. Absence of a facility or lack of sufficient capacity at a facility in a given area may also be an important characteristic in future energy planning activities. Please keep in mind this is not representative of the whole eGRID. This dataset can be linked back to the additional content of the eGRID by downloading the data and joining it back to the eGRID spreadsheet.","EPA Coastal Energy Facilities ",0f6c1472-0c16-4ffb-8313-2468d941f52c
"USGS Land Cover - Impervious Surface (2001) -- U.S. (Puerto Rico)","325","Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ","","NLCD 2001 is based primarily on a decision-tree classification of circa 2001 Landsat satellite data. NLCD 2001 improves on NLCD92 in that it is comprised of three different elements: land cover, percent developed impervious surface and percent tree canopy density. NLCD 2001 also uses improved classification algorithms, which have resulted in data with more precise rendering of spatial boundaries between the land cover classes.","U.S. Government Work","USGS","U.S. Geological Survey","http://www.mrlc.gov/nlcd01_data.php","National Land Cover Database 2001 (NLCD 2001) is a 16-class (additional four classes in Alaska only) land cover classification scheme that has been applied consistently across all 50 United States and Puerto Rico at a spatial resolution of 30 meters.","USGS National Land Cover Database ",10c28593-cae1-4e8d-9157-f4a393651568
"Average Annual Precipitation (1971-2000)","10007","","","The NASA Earth Exchange Global Daily Downscaled Projections (NEX-GDDP) dataset is comprised of downscaled climate scenarios for the globe that are derived from the General Circulation Model (GCM) runs conducted under the Coupled Model Intercomparison Project Phase 5 (CMIP5) and across two of the four greenhouse gas emissions scenarios known as Representative Concentration Pathways (RCPs). The CMIP5 GCM runs were developed in support of the Fifth Assessment Report of the Intergovernmental Panel on Climate Change (IPCC AR5). The NEX-GDDP dataset includes downscaled projections for RCP 4.5 and RCP 8.5 from the 21 models and scenarios for which daily scenarios were produced and distributed under CMIP5. Further information on the methodology can be found at https://nex.nasa.gov/nex/static/media/other/NEX-GDDP_Tech_Note_v1_08June2015.pdf. ","CC-BY-4.0","WRI","World Resources Institute","https://cds.nccs.nasa.gov/nex-gddp/","This map shows average annual precipitation between 1971-2000 derived from the ensemble average of the NASA NEX Global Daily Downscaled Projections. Values are reported in mm/year equivalent.","NASA NEX GDDP - ensemble average precipitation historical",12510410-1eb3-4af0-844f-8a05be50b1c1
"Social Vulnerability Index (2006-2010) -- U.S. (Minnesota) ","306","","https://coast.noaa.gov/htdata/SocioEconomic/SoVI2010/SoVI_2010_MN.zip","SoVI® is a valuable tool for policy makers and practitioners. It graphically illustrates the geographic variation in social vulnerability. It shows where there is uneven capacity for preparedness and response and where resources might be used most effectively to reduce the pre-existing vulnerability. SoVI® also is useful as an indicator in determining the differential recovery from disasters.The index synthesizes 27 socioeconomic variables, which the research literature suggests contribute to reduction in a community’s ability to prepare for, respond to, and recover from hazards. SoVI® data sources include primarily those from the United States Census Bureau.The data are compiled and processed by the Hazards and Vulnerability Research Institute at the University of South Carolina. The data are standardized and placed into a principal components analysis to reduce the initial set of variables into a smaller set of statistically optimized components. Adjustments are made to the components’ cardinality (positive (+) or negative (-)) to insure that positive component loadings are associated with increased vulnerability, and negative component loadings are associated with decreased vulnerability. Once the cardinalities of the components are determined, the components are added together to determine the numerical social vulnerability score for each county.SoVI® 2006-10 marks a change in the formulation of the SoVI® metric from earlier versions. New directions in the theory and practice of vulnerability science emphasize the constraints of family structure, language barriers, vehicle availability, medical disabilities, and healthcare access in the preparation for and response to disasters, thus necessitating the inclusion of such factors in SoVI®. Extensive testing of earlier conceptualizations of SoVI®, in addition to the introduction of the U.S. Census Bureau’s five-year American Community Survey (ACS) estimates, warrants changes to the SoVI® recipe, resulting in a more robust metric. These changes, pioneered with the ACS-based SoVI® 2005-09 carry over to SoVI® 2006-10, which combines the best data available from both the 2010 U.S. Decennial Census and five-year estimates from the 2006-2010 ACS. ","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/dataregistry/search/dataset/info/sovi","The Social Vulnerability Index (SoVI®) 2006-10 measures the social vulnerability of U.S. counties to environmental hazards. The index is a comparative metric that facilitates the examination of the differences in social vulnerability among counties. ","Social Vulnerability to Environmental Hazards ",125b181c-653a-4a27-8a5f-e507c5a7c530
"USGS Land Cover - Canopy (2011) -- U.S.","284","Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-358","","As with two previous NLCD land cover products NLCD 2011 keeps the same 16-class land cover classification scheme that has been applied consistently across the United States at a spatial resolution of 30 meters. NLCD 2011 is based primarily on a decision-tree classification of circa 2011 Landsat satellite data. ","U.S. Government Work","USGS","U.S. Geological Survey","http://www.mrlc.gov/nlcd11_data.php","National Land Cover Database 2011 (NLCD 2011) is the most recent national land cover product created by the Multi-Resolution Land Characteristics (MRLC) Consortium. NLCD 2011 provides - for the first time - the capability to assess wall-to-wall, spatially explicit, national land cover changes and trends across the United States from 2001 to 2011. ","USGS National Land Cover Database",13f2fe37-767f-457d-a31e-1deff3fe7b54
"Social Vulnerability Index (2006-2010) -- U.S. (Illinois) ","299","","https://coast.noaa.gov/htdata/SocioEconomic/SoVI2010/SoVI_2010_IL.zip","SoVI® is a valuable tool for policy makers and practitioners. It graphically illustrates the geographic variation in social vulnerability. It shows where there is uneven capacity for preparedness and response and where resources might be used most effectively to reduce the pre-existing vulnerability. SoVI® also is useful as an indicator in determining the differential recovery from disasters.The index synthesizes 27 socioeconomic variables, which the research literature suggests contribute to reduction in a community’s ability to prepare for, respond to, and recover from hazards. SoVI® data sources include primarily those from the United States Census Bureau.The data are compiled and processed by the Hazards and Vulnerability Research Institute at the University of South Carolina. The data are standardized and placed into a principal components analysis to reduce the initial set of variables into a smaller set of statistically optimized components. Adjustments are made to the components’ cardinality (positive (+) or negative (-)) to insure that positive component loadings are associated with increased vulnerability, and negative component loadings are associated with decreased vulnerability. Once the cardinalities of the components are determined, the components are added together to determine the numerical social vulnerability score for each county.SoVI® 2006-10 marks a change in the formulation of the SoVI® metric from earlier versions. New directions in the theory and practice of vulnerability science emphasize the constraints of family structure, language barriers, vehicle availability, medical disabilities, and healthcare access in the preparation for and response to disasters, thus necessitating the inclusion of such factors in SoVI®. Extensive testing of earlier conceptualizations of SoVI®, in addition to the introduction of the U.S. Census Bureau’s five-year American Community Survey (ACS) estimates, warrants changes to the SoVI® recipe, resulting in a more robust metric. These changes, pioneered with the ACS-based SoVI® 2005-09 carry over to SoVI® 2006-10, which combines the best data available from both the 2010 U.S. Decennial Census and five-year estimates from the 2006-2010 ACS. ","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/dataregistry/search/dataset/info/sovi","The Social Vulnerability Index (SoVI®) 2006-10 measures the social vulnerability of U.S. counties to environmental hazards. The index is a comparative metric that facilitates the examination of the differences in social vulnerability among counties. ","Social Vulnerability to Environmental Hazards",17c94214-32ab-44c4-9394-5e8b1f0d5f2b
"Native Villages -- U.S. (Alaska)","91","","http://edg.epa.gov/data/Restricted/OEI/OIAA/Tribes/EPAtribes.zip","","U.S. Government Work","EPA","U.S. Environmental Protection Agency","http://catalog.data.gov/dataset/6cd91392-6838-4e8b-ae02-56e2c61fa6af","This layer represents center points of Alaska Native Villages. The Alaska Native Villages are associated with Federally recognized tribal entities.","EPA Center Points of Alaska Native Villages",19e5ddd3-d8ff-421f-8e35-1e712f48b0dd
"Social Vulnerability Index (2006-2010) -- U.S. (Michigan) ","305","","https://coast.noaa.gov/htdata/SocioEconomic/SoVI2010/SoVI_2010_MI.zip","SoVI® is a valuable tool for policy makers and practitioners. It graphically illustrates the geographic variation in social vulnerability. It shows where there is uneven capacity for preparedness and response and where resources might be used most effectively to reduce the pre-existing vulnerability. SoVI® also is useful as an indicator in determining the differential recovery from disasters.The index synthesizes 27 socioeconomic variables, which the research literature suggests contribute to reduction in a community’s ability to prepare for, respond to, and recover from hazards. SoVI® data sources include primarily those from the United States Census Bureau.The data are compiled and processed by the Hazards and Vulnerability Research Institute at the University of South Carolina. The data are standardized and placed into a principal components analysis to reduce the initial set of variables into a smaller set of statistically optimized components. Adjustments are made to the components’ cardinality (positive (+) or negative (-)) to insure that positive component loadings are associated with increased vulnerability, and negative component loadings are associated with decreased vulnerability. Once the cardinalities of the components are determined, the components are added together to determine the numerical social vulnerability score for each county.SoVI® 2006-10 marks a change in the formulation of the SoVI® metric from earlier versions. New directions in the theory and practice of vulnerability science emphasize the constraints of family structure, language barriers, vehicle availability, medical disabilities, and healthcare access in the preparation for and response to disasters, thus necessitating the inclusion of such factors in SoVI®. Extensive testing of earlier conceptualizations of SoVI®, in addition to the introduction of the U.S. Census Bureau’s five-year American Community Survey (ACS) estimates, warrants changes to the SoVI® recipe, resulting in a more robust metric. These changes, pioneered with the ACS-based SoVI® 2005-09 carry over to SoVI® 2006-10, which combines the best data available from both the 2010 U.S. Decennial Census and five-year estimates from the 2006-2010 ACS. ","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/dataregistry/search/dataset/info/sovi","The Social Vulnerability Index (SoVI®) 2006-10 measures the social vulnerability of U.S. counties to environmental hazards. The index is a comparative metric that facilitates the examination of the differences in social vulnerability among counties. ","Social Vulnerability to Environmental Hazards ",1e50614a-ec97-4318-812b-588e96bcd157
"VIIRS Active Fire -- Global","10017","NASA FIRMS. “VIIRS Active Fires.”","","The VIIRS active fires data (VNP14IMGT) is the latest fire monitoring product to FIRMS (Fire Information for Resource Management System), which identifies global fire locations in near-real time. Information is collected from the Visible Infrared Imaging Radiometer Suite (VIIRS) sensor, and processed with a fire detection algorithm to flag active fires. Each dot on the map represents the center of a 375 meter pixel that has been flagged by the algorithm. The VIIRS data replaces the active fires data from MODIS that was previously available on Global Forest Watch. The VIIRS data has higher spatial resolution (375-meter pixels vs. 1-kilometer pixels) which improves detection of smaller fires and provides a more reliable estimate of fire perimeters. The VIIRS data is also better calibrated to detect fires at night. The active fires data is available to view and download for the past 24 hours, 48 hours, or 7 days. Older fire data will be available for download from the NASA FIRMS website beginning in mid-2016. Each fire alert has a confidence value of low, nominal, or high to help users gauge the quality of individual hotspot /fire pixels.","U.S. Government Work","NASA","","https://earthdata.nasa.gov/earth-observation-data/near-real-time/firms/active-fire-data","","NASA VIIRS Active Fire Data",20cc5eca-8c63-4c41-8e8e-134dcf1e6d76
"River Gauge -- U.S.","258","","","","U.S. Government Work","DOT","Department of Transportation","http://geoplatform.maps.arcgis.com/home/item.html?id=790e540fb71943cc991d796ea740d24c","Signal station, warning Definition: A signal station is a place on shore from which signals are made to ships at sea. (IHO Dictionary, S-32, 5th Edition, 4742) Distinction: signal station, traffic.","USACE Transportation Water ",21b2b0a0-dc70-4d5a-a8f0-7a3d78b983bb
"Social Vulnerability Index (2006-2010)-- U.S. (Pennsylvania) ","314","","https://coast.noaa.gov/htdata/SocioEconomic/SoVI2010/SoVI_2010_PA.zip","SoVI® is a valuable tool for policy makers and practitioners. It graphically illustrates the geographic variation in social vulnerability. It shows where there is uneven capacity for preparedness and response and where resources might be used most effectively to reduce the pre-existing vulnerability. SoVI® also is useful as an indicator in determining the differential recovery from disasters.The index synthesizes 27 socioeconomic variables, which the research literature suggests contribute to reduction in a community’s ability to prepare for, respond to, and recover from hazards. SoVI® data sources include primarily those from the United States Census Bureau.The data are compiled and processed by the Hazards and Vulnerability Research Institute at the University of South Carolina. The data are standardized and placed into a principal components analysis to reduce the initial set of variables into a smaller set of statistically optimized components. Adjustments are made to the components’ cardinality (positive (+) or negative (-)) to insure that positive component loadings are associated with increased vulnerability, and negative component loadings are associated with decreased vulnerability. Once the cardinalities of the components are determined, the components are added together to determine the numerical social vulnerability score for each county.SoVI® 2006-10 marks a change in the formulation of the SoVI® metric from earlier versions. New directions in the theory and practice of vulnerability science emphasize the constraints of family structure, language barriers, vehicle availability, medical disabilities, and healthcare access in the preparation for and response to disasters, thus necessitating the inclusion of such factors in SoVI®. Extensive testing of earlier conceptualizations of SoVI®, in addition to the introduction of the U.S. Census Bureau’s five-year American Community Survey (ACS) estimates, warrants changes to the SoVI® recipe, resulting in a more robust metric. These changes, pioneered with the ACS-based SoVI® 2005-09 carry over to SoVI® 2006-10, which combines the best data available from both the 2010 U.S. Decennial Census and five-year estimates from the 2006-2010 ACS. ","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/dataregistry/search/dataset/info/sovi","The Social Vulnerability Index (SoVI®) 2006-10 measures the social vulnerability of U.S. counties to environmental hazards. The index is a comparative metric that facilitates the examination of the differences in social vulnerability among counties. ","Social Vulnerability to Environmental Hazards ",23c8646a-8187-4346-8ead-6956287af733
"Brightness Temperature (HIRS Channel 12) -- Global","187","","","Among the twenty channels in the HIRS instrument, channel 12 measures upper tropospheric water vapor (UTWV). Multiple polar orbiting satellites in the NOAA Polar-orbiting Operational Environmental Satellite (POES) series and MetOp-A have carried HIRS instruments. Due to the independence in calibration of the individual HIRS instruments, biases exist between satellites. Examination of the intersatellite biases shows that the biases are scene brightness temperature dependent. These HIRS channel 12 measurements from the NOAA POES and MetOp-A are calibrated to a baseline satellite based on intersatellite bias correction data. The differences from the last version include that the dataset is now provided as monthly mean 2.5x2.5 degree latitude/longitude in netcdf format and the time series has been extended to the end of 2013. This CDR is key to understanding water vapor feedback climatology.","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","http://gis.ncdc.noaa.gov/all-records/catalog/search/resource/details.page?id=gov.noaa.ncdc:C00832","This NOAA Climate Data Record (CDR) of Inter-Satellite Calibrated Clear-Sky High Resolution Infrared Radiation Sounder (HIRS) Channel 12 brightness temperatures contains over 30 years (1978-2013) of data. ","NOAA Climate Data Record (CDR, Version 2.7)",23dc45c4-a1fe-4e31-8f61-9e3de65a0f47
"GHCN-Daily Station Location -- Global","80","Menne, Matthew J., Imke Durre, Russell S. Vose, Byron E. Gleason, Tamara G. Houston, 2012: An Overview of the Global Historical Climatology Network-Daily Database. J. Atmos. Oceanic Technol., 29, 897–910, doi:10.1175/JTECH-D-11-00103.1.","","GHCN-Daily contains records from over 75000 stations in 180 countries and territories. Numerous daily variables are provided, including maximum and minimum temperature, total daily precipitation, snowfall, and snow depth; however, about two thirds of the stations report precipitation only. Both the record length and period of record vary by station and cover intervals ranging from less than year to more than 175 years.","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://www.ncdc.noaa.gov/oa/climate/ghcn-daily/index.php","GHCN (Global Historical Climatology Network)-Daily is an integrated database of daily climate summaries from land surface stations across the globe. Like its monthly counterpart (GHCN-Monthly), GHCN-Daily is comprised of daily climate records from numerous sources that have been integrated and subjected to a common suite of quality assurance reviews.","NOAA Global Historical Climatology Network Daily",2501e49c-27da-42b0-9b15-280f48ce5540
"USGS Land Cover - Impervious Surface (2001) -- U.S. (Hawaii)","323","Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ","","NLCD 2001 is based primarily on a decision-tree classification of circa 2001 Landsat satellite data. NLCD 2001 improves on NLCD92 in that it is comprised of three different elements: land cover, percent developed impervious surface and percent tree canopy density. NLCD 2001 also uses improved classification algorithms, which have resulted in data with more precise rendering of spatial boundaries between the land cover classes.","U.S. Government Work","USGS","U.S. Geological Survey","http://www.mrlc.gov/nlcd01_data.php","National Land Cover Database 2001 (NLCD 2001) is a 16-class (additional four classes in Alaska only) land cover classification scheme that has been applied consistently across all 50 United States and Puerto Rico at a spatial resolution of 30 meters.","USGS National Land Cover Database ",2912c812-43e5-445a-a078-d722f617528e
"Temperature Average -- U.S. (Regional)","194","","","","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","http://www.cpc.ncep.noaa.gov/products/analysis_monitoring/regional_monitoring/us_12-month_avgt.shtml","Current, 3-Month, 6-Month, 12-Month, and Year-to-Date Regional Temperature Rank Maps","NOAA NCEI Indices",2c3b7163-2ff7-4302-873b-9e27f630a0cd
